nombre,artistas,album,fecha_lanzamiento,popularidad,explicit,imagen_url,spotify_url,generos,contenido
tv off (feat. lefty gunplay),"Kendrick Lamar, Lefty Gunplay",GNX,2024-11-22,92,True,https://i.scdn.co/image/ab67616d0000b273d9985092cd88bffd97653b58,https://open.spotify.com/track/0aB0v4027ukVziUGwVGYpG,"hip hop, west coast hip hop","hip hop, west coast hip hop Kendrick Lamar, Lefty Gunplay GNX True"
Missing,Morgan Wallen,I’m The Problem,2025-05-16,79,False,https://i.scdn.co/image/ab67616d0000b27335ea219ce47813b5e2dc3745,https://open.spotify.com/track/7trGQmK2IAYxLb3wgqfawy,country,country Morgan Wallen I’m The Problem False
Kiss Her In Front Of You,Morgan Wallen,I’m The Problem,2025-05-16,79,False,https://i.scdn.co/image/ab67616d0000b27335ea219ce47813b5e2dc3745,https://open.spotify.com/track/3vhOv5qBOX9urPOC9VyhWl,country,country Morgan Wallen I’m The Problem False
A Bar Song (Tipsy),Shaboozey,"Where I've Been, Isn't Where I'm Going",2024-05-31,86,True,https://i.scdn.co/image/ab67616d0000b27360df033c8f8b17384387666a,https://open.spotify.com/track/5fZJQrFKWQLb7FpJXZ1g7K,," Shaboozey Where I've Been, Isn't Where I'm Going True"
Genesis,Morgan Wallen,I’m The Problem,2025-05-16,79,False,https://i.scdn.co/image/ab67616d0000b27335ea219ce47813b5e2dc3745,https://open.spotify.com/track/5ImJTOd6BMsvwuRgnlmyr7,country,country Morgan Wallen I’m The Problem False
If You Were Mine,Morgan Wallen,I’m The Problem,2025-05-16,79,True,https://i.scdn.co/image/ab67616d0000b27335ea219ce47813b5e2dc3745,https://open.spotify.com/track/710dGcMZzo15JzqhJmDjOR,country,country Morgan Wallen I’m The Problem True
Number 3 and Number 7 (feat. Eric Church),"Morgan Wallen, Eric Church",I’m The Problem,2025-05-16,78,False,https://i.scdn.co/image/ab67616d0000b27335ea219ce47813b5e2dc3745,https://open.spotify.com/track/5EA2rqylBTFpUVQUKiWFXs,country,"country Morgan Wallen, Eric Church I’m The Problem False"
All The Way (feat. Bailey Zimmerman),"BigXthaPlug, Bailey Zimmerman",All The Way (feat. Bailey Zimmerman),2025-04-04,87,True,https://i.scdn.co/image/ab67616d0000b273eedca2962d36208f21037d62,https://open.spotify.com/track/73kIKvg65QWieOKXIwyLJP,southern hip hop,"southern hip hop BigXthaPlug, Bailey Zimmerman All The Way (feat. Bailey Zimmerman) True"
Interlude,Morgan Wallen,I’m The Problem,2025-05-16,79,True,https://i.scdn.co/image/ab67616d0000b27335ea219ce47813b5e2dc3745,https://open.spotify.com/track/4NoOpkVBJsRB2YTiP9vRJD,country,country Morgan Wallen I’m The Problem True
Don't We,Morgan Wallen,I’m The Problem,2025-05-16,79,False,https://i.scdn.co/image/ab67616d0000b27335ea219ce47813b5e2dc3745,https://open.spotify.com/track/7quUr3mlWKcQuBRfl6g5Sn,country,country Morgan Wallen I’m The Problem False
